FOODID;FOODNAME;LANG
859;Herring in garlic or mustard sauce;EN
860;Baltic herring in dill or mustard sauce;EN
862;Tuna;EN
863;Oyster, european;EN
864;Snail;EN
865;Squid;EN
866;Lobster;EN
870;Rainbow trout fillet, salt-cured;EN
871;Salmon fillet;EN
900;Coffee, average;EN
901;Tea;EN
902;Beer, lager, medium strength, 4.5% volume;EN
903;Beer, lager, strong, 5-5.5% volume;EN
904;Wine, average, 8-15% volume;EN
905;Wine, fortified, sweet, bitters, sherry, vermouth, madeira, fruit wine;EN
906;Spirit, vodka, gin;EN
907;Spirit, brandy/rum/whisky 40% volume;EN
908;Liqueur, 20-30% volume;EN
909;Gin and grapefruit drink, 5.5% volume;EN
910;Soft drink, lemonade;EN
911;Cider, sweet, <3% volume;EN
912;Mead, finnish sima;EN
913;Beer, lager, very mild <2.8% volume;EN
914;Beer home-made, alcohol-free;EN
915;Mineral water;EN
917;Lemon tea drink powder, sweetened instant tea;EN
920;Soft drink, light, sugar-free;EN
921;Mineral water, low sodium;EN
922;Water, tap water;EN
923;Tea, herbal tea;EN
924;Red wine;EN
925;White wine, dry;EN
926;White wine, sweet;EN
928;Soft drink, cola, average;EN
929;Vinegar, wine vinegar;EN
930;Filtered coffee drink;EN
931;Boiled coffee drink;EN
932;Cappuccino, unsweetened, whole milk;EN
933;Vinegar;EN
934;Vinegar with honey and apple;EN
936;Wine, light, 4-5% volume;EN
937;Tea, green tea;EN
938;Soft drink, partially artificially sweetened;EN
939;Cider, sweet, 4.7% volume;EN
940;Beer, strong ale, 7.5-8% volume;EN
941;Soft drink, cola, light, partially artificially sweetened;EN
942;Cream liqueur, 15-17% volume;EN
943;Orange campari, cocktail;EN
944;Irish coffee, 8% volume;EN
945;Wine, mulled;EN
946;Glucose syrup, partly refined, starchy;EN
947;Bloody mary;EN
948;Rum cola;EN
949;Screwdriver;EN
950;Gin tonic;EN
951;Tom collins, gin cocktail;EN
952;Dry martini;EN
953;Eggnog;EN
1000;Rye gruel, rye flour, water, salt;EN
1001;Rye gruel, rye flour, juice, salt;EN
1002;Rye porridge, rye flour, water, salt;EN
1003;Rye porridge, rye flour, milk, salt;EN
1005;Rye potato porridge, water, salt;EN
1006;Rye berry porridge, water, lingonberry, sugar, salt;EN
1007;Rye lingonberry porridge, salt, without sugar;EN
1009;Ryebread, water, wholegrain rye flour;EN
1011;Multigrain bread, sweet-and-sour bread, sour milk, wheat and rye flour;EN
1013;Karelian pasty, rice filling;EN
1014;Karelian pasty, potato filling, rye crust;EN
1015;Berry pie, crushed berries, rye crust;EN
1017;Boiled karelian pasty, rice filling in rye crust;EN
1022;Bread porridge, lingonberries, rye bread, semolina;EN
1023;Mämmi, sweetened malt porridge, finnish easter pudding;EN
1025;Rye gruel, rye flakes, milk, salt;EN
1026;Rye porridge, rye flakes, water, salt;EN
1027;Rye porridge, rye flakes, milk, salt;EN
1028;Mixed flake gruel, milk, salt;EN
1030;Mixed flake porridge, milk, salt;EN
1031;Wheat tortilla, burrito, wrap, vegetable filling;EN
1032;Kruska porridge, crushed grains and raisins, water, salt;EN
1033;Wheat tortilla, burrito, wrap, pork beef mince filling;EN
1035;Wheat tortilla, burrito, wrap, chicken filling;EN
1036;Rye bread, 51% rye;EN
1056;White bread, pita bread;EN
1100;Wheat gruel, milk, wheat flour, sugar, salt;EN
1101;Egg gruel with milk;EN
1104;Wheat porridge, low-fat milk, wheat flour, sugar, salt;EN
1107;White bread, french bread, low-fat milk, wheat flour;EN
1108;White bread, wheat roll, low-fat milk;EN
1111;Multigrain bread, flatbread, low-fat milk, wheat and rye flour;EN
1132;Danish pastry, low-fat milk, 20% fat;EN
1139;Doughnut, low-fat milk, home-made;EN
1150;Bagel, sweet, low-fat milk;EN
1160;Dough, unsweetened;EN
1161;Berry pie, basic sweet dough, low-fat milk;EN
1162;Berry pie, basic sweet dough, fat-free milk;EN
1163;Berry pie, basic sweet dough, whole milk;EN
1164;Jam pie, basic sweet dough, low-fat milk;EN
1165;Jam pie, basic sweet dough, fat-free milk;EN
1170;Apple pie, basic sweet dough, low-fat milk;EN
1173;Quark pie, basic sweet dough, low-fat milk;EN
1179;Berry pie, shortbread crust;EN
1180;Berry pie with sour milk, shortbread crust;EN
1181;Jam pie, shortbread crust;EN
1182;Rhubarb pie, shortbread crust;EN
1183;Apple pie, shortbread crust;EN
1184;Quark pie, shortbread crust;EN
1185;Apple pie with quark filling, shortbread crust;EN
1193;Swiss roll dough, unsweetened;EN
1202;Tosca cake;EN
1204;Sponge cake, berry and cream filling;EN
1206;Sponge cake, caramel cake with whipped cream;EN
1207;Sponge cake with custard;EN
1208;Sponge cake, fruit and cream filling, gelatin topping;EN
1218;Carrot pie, butter dough;EN
1220;Mushroom pie, butter dough;EN
1221;Vegetarian pie, shortcrust pastry;EN
1223;Thin pancake, low-fat milk;EN
1228;Blin with low-fat milk, barley flour;EN
1231;Oven-baked pancake, low-fat milk;EN
1239;White sauce, low-fat milk, thickened with flour and fat;EN
1242;White sauce, low-fat milk, thickened with flour;EN
1243;Sauce veloute, meat bouillon, thickened with flour;EN
1244;Brown gravy, thickened with fat and flour;EN
1245;Thin brown sauce with cream;EN
1246;Hollandaise sauce;EN
1247;Egg sauce, low-fat milk, thickened with flour and fat;EN
1253;Pudding, prune pudding;EN
1258;French toast with low-fat milk;EN
1262;Cookie crumbs, whipped cream and jam dessert, pappilan hätävara;EN
1265;Graham gruel, milk, salt;EN
1266;Graham porridge, water, salt;EN
1268;Graham berry porridge, water, lingonberry, sugar, salt;EN
1269;Multigrain bread, graham bread, low-fat milk, graham flour;EN
1270;Multigrain bread, graham roll, low-fat milk, graham flour, wheat flour;EN
1276;Semolina gruel, milk, salt;EN
1277;Semolina porridge, milk, salt;EN
1278;Semolina lingonberry porridge, whipped;EN
1279;Semolina lingonberry porridge, whipped, salt, without sugar;EN
1280;Semolina apricot porridge, whipped, without salt;EN
1281;Semolina chocolate porridge, milk, without salt;EN
1283;Semolina gruel, whole grain semolina, milk;EN
1284;Semolina porridge, whole grain semolina, water;EN
1285;Semolina porridge, whole grain semolina, milk;EN
1286;Wheat gruel, milk, wheat flakes, salt;EN
1287;Wheat gruel, water, wheat flakes, salt;EN
1288;Wheat porridge, milk, wheat flakes, salt;EN
1289;Macaroni gruel, milk, salt;EN
1290;Macaroni porridge, milk, salt;EN
1291;Macaroni casserole, low-fat milk, without meat;EN
1294;Macaroni, fried;EN
1295;White bread, dark wheat flour, water;EN
1297;Multigrain bread, buttermilk bread, sour milk, wheat and dark wheat flour;EN
1298;Multigrain bread, carrot roll, low-fat milk, dark wheat flour, flour mix;EN
1301;Multigrain bread, bread roll, low-fat milk, flour mix;EN
1305;Berry pie, shortbread crust/basic sweet dough, average;EN
1307;Bun, cinnamon bun, high-fat, low-fat milk;EN
1309;White bread, wheat bread, french bread, industrial;EN
1320;Multigrain bread, buckwheat bread, water, buckwheat flour, naturally gluten-free;EN
1326;Swiss roll, gluten-free;EN
1330;Rye bread, water, rye and dark wheat flour;EN
1331;Rye bread, wholegrain rye, dark wheat flour, industrial;EN
1336;Multigrain bread, graham bread, water, dark wheat flour, graham flour;EN
1337;Multigrain bread, graham bread, low-fat milk, dark wheat flour, graham flour;EN
1338;Rye bread, wholegrain rye, potato, ruispalat;EN
1340;Multigrain bread, seed bread, water, wheat flour, crushed wheat grains, seeds;EN
1341;Multigrain bread, crushed grains, water, wheat and rye flour, oat flakes;EN
1342;Rye bread, wholegrain rye, low-sodium;EN
1343;Berry and rhubarb pie, soft;EN
1344;Berry pie, sweetened with fructose, soft;EN
1347;Christmas star pastry;EN
1348;Muesli with dried fruit;EN
1370;Rice, boiled without salt;EN
1372;Macaroni, boiled, salt;EN
1373;Pasta, spaghetti, boiled, salt;EN
1374;Macaroni, dark, boiled, salt;EN
1375;Rice and rye mix, boiled, salt;EN
1376;Rice, long-grain, boiled, salt;EN
1377;Rice, wholegrain, boiled without salt;EN
1378;Rice, natural rice, mixed rice and wild rice, boiled, salt;EN
1379;Rice, boiled, salt;EN
1389;Rye, wheat and potato dough;EN
1416;Rye bread, sweet and sour rye malt bread;EN
1445;Sandwich, baguette, tomato, sweet pepper, cheese, lettuce, onion;EN
1448;Tomato salsa;EN
1450;Red wine sauce;EN
1461;Cheese pasty;EN
1500;Barley gruel, barley flour, milk, salt;EN
1501;Barley porridge, pearl barley, water, salt;EN
1502;Multigrain bread, barley bread, low-fat milk, dark wheat and barley flour, oat;EN
1503;Multigrain bread, flatbread, potato and barley, water, barley flour, home-made;EN
1504;Barley gruel, pearl barley, milk, salt;EN
1505;Barley porridge, pearl barley, milk, salt;EN
1506;Barley porridge, pearl barley, lingonberry, sugar, salt;EN
1507;Multigrain bread, faltbread, pearl barley, sour milk;EN
1509;Barley porridge, pearl barley, water, salt;EN
1510;Barley porridge, barley flakes, milk, salt;EN
1511;Oat gruel, oat flakes, water, salt;EN
1512;Oat gruel, oat flakes, milk, salt;EN
1513;Oat porridge, oat flakes, water, salt;EN
1514;Oat porridge, oat flakes, low-fat milk, salt;EN
1516;Prune kissel, prune soup, with oat flakes;EN
1518;Prune porridge, oat flakes, prunes, water, sugar, salt;EN
1520;Multigrain bread, oat bread, low-fat milk, wheat flour, oat flakes;EN
1521;Multigrain bread, oat roll, low-fat milk, dark wheat flour, oat flakes;EN
1524;Oat biscuit, lacy oatmeal cookies, contains wheat;EN
1526;Talkkuna porridge, talkkuna powder, water, salt;EN
1527;Talkkuna powder with sour milk;EN
1530;Rhubarb rice porridge, water, sugar;EN
1531;Apple rice porridge, water, sugar;EN
1532;Apricot rice porridge, water, sugar;EN
1537;Rice and cream dessert;EN
1538;Prune rice dessert;EN
1541;Millet porridge, water, salt;EN
1542;Millet porridge, milk, salt;EN
1543;Buckwheat gruel, milk, salt;EN
1544;Buckwheat porridge, water, salt;EN
1545;Buckwheat porridge, milk, salt;EN
1546;Potato gruel, potato pearls, milk, salt;EN
1547;Potato porridge, potato pearls, milk, salt;EN
1548;Maize gruel, milk, salt;EN
1549;Pudding, maize pudding, low-fat milk;EN
1552;Popcorn, cooking oil;EN
1554;Cheese puffs;EN
1556;Multigrain bread, bread roll, water, flour mix;EN
1559;Rice porridge, whole grain rice, milk, salt;EN
1560;Rice, long-grain, boiled, meat bouillon;EN
1561;Oat porridge, oat flakes, water, without salt;EN
1562;Wheat porridge, water, wheat flakes, without salt;EN
1563;Rye porridge, rye flakes, water, without salt;EN
1564;Mixed flake porridge, water, without salt;EN
1565;Rice porridge, rice flakes, milk, without salt;EN
1566;Rice porridge, water, without salt;EN
1567;Semolina porridge, milk, without salt;EN
1568;Rice porridge, milk, salt;EN
1569;Rice gruel, rice, milk, salt;EN
1571;Rice gruel, rice flakes, milk, salt;EN
1572;Rice gruel, rice flakes, water, salt;EN
1575;Millet, boiled with salt;EN
1576;Buckwheat, boiled, salt;EN
1577;Wheat grain, boiled, salt;EN
1578;Millet, boiled without salt;EN
1579;Buckwheat, boiled without  salt;EN
1580;Wheat grain, boiled without salt;EN
1582;Multigrain bread, flatbread, barley and potato, wheat flour, milk;EN
1860;Ravioli with spinach filling, boiled;EN
2002;Potato, fried;EN
2005;Potatoes in low-fat milk;EN
2009;Puréed potato leek soup;EN
2010;Salad, potato salad, onion, without mayonnaise;EN
2011;Mashed potato casserole, milk, eggs, without meat;EN
2012;Potato and onion casserole, low-fat milk;EN
2021;Sliced baked potatoes with cream;EN
2022;Scalloped garlic potatoes;EN
2023;Mashed potatoes, mashed potato powder, water;EN
2024;Potato wedges, oven-baked;EN
2025;French fries, oven-baked;EN
2028;Mashed potatoes and spinach;EN
2029;Mashed potatoes, low-fat milk;EN
2030;Potato cutlet;EN
2031;Potato with cheese, fried;EN
2033;Potato, peeled, boiled with salt;EN
3000;Carrot, fried;EN
3001;Mashed carrot;EN
3002;Carrot stew;EN
3003;Puréed carrot soup;EN
3004;Puréed carrot soup, milk;EN
3005;Carrot casserole, low-fat milk;EN
3006;Thin carrot pancake, carrot crepes, low-fat milk;EN
3009;Swede, simmered;EN
3010;Swede, mashed;EN
3014;Swede pasty with rye crust;EN
3015;Stew with potato, rutabaga and rye dough;EN
