FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
33086;Perunalaatikko, jauhelihakiusaus, saarioinen, valmisateria;DISH;BAK;100;DISH;NONINGR;MEATCASS;MEATDTOT
33088;Härkäruukku, saarioinen, valmisateria;DISH;BAK;100;DISH;NONINGR;MEATPOT;MEATDTOT
33089;Kermainen kanaruukku, saarioinen, valmisateria;DISH;BAK;100;DISH;NONINGR;POULTDI;MEATDTOT
33090;Kinkku-pekoniruukku, saarioinen, valmisateria;DISH;BAK;100;DISH;NONINGR;MEATPOT;MEATDTOT
33091;Avokadoöljy;FOOD;IND;100;OIL;FATTOT;DRESSING;FATTOT
33092;Kaalipihvi, kaalipyörykkä, ei lihaa;DISH;FRIE;100;DISH;NONINGR;VEGDISH;VEGDITOT
33093;Makaronilaatikko, sieni-makaronilaatikko, kevytmaito;DISH;BAK;100;DISH;NONINGR;VEGCASS;VEGDITOT
33094;Kinkkukastike, tomaattinen;DISH;BOIL;100;DISH;NONINGR;MEATPOT;MEATDTOT
33095;Pähkinä, pekaanipähkinä;FOOD;RAW;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
33096;Kinkkukastike, ruskea kastike;DISH;BOIL;100;DISH;NONINGR;MEATPOT;MEATDTOT
33097;Grillimakkara, bratwursti;FOOD;IND;100;SAUSAGE;MEATTOT;SAUSAGE;MEATDTOT
33098;Sekaleipä, tumma lounassämpylä, vaasan;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
33100;Vaalea leipä, vaalea lounassämpylä, vaasan;DISH;BAK;100;DISH;NONINGR;BRWHITE;CEBAKTOT
33101;Makaroni, keitetty, suolaa, öljyä;DISH;BOIL;100;DISH;NONINGR;PASTAADD;CEBAKTOT
33102;Pähkinä, hunajapaahdettu maapähkinä;FOOD;DRIE;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
33103;Jogurtti, maustettu, valio olo, rasvaa 2,7 %, eila, d-vit 1 ug, probiootteja;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
33105;Suolarinkeli, kova;FOOD;BAK;100;BRHARD;CERTOT;SNACK;MISCTOT
33106;Jogurtti, intialainen jogurttijuoma, mangolassi;DISH;MASH;100;DISH;NONINGR;MILKPUDD;MILKDTOT
33107;Pyttipannu, juurespyttipannu, ei perunaa;DISH;FRIE;100;DISH;NONINGR;VEGPOT;VEGDITOT
33108;Suolarinkeli, pehmeä;FOOD;BAK;100;WHEAT;CERTOT;BUN;CEBAKTOT
33109;Perunapaistos, intialainen, bombay-perunat;DISH;BOIL;100;DISH;NONINGR;POTADISH;POTATOT
33111;Maito, täysmaito, rasvaa 3 %, laktoositon maitojuoma, d-vitamiinia 1 ug;FOOD;IND;100;MILK;MILKTOT;MILKHF;MILKDTOT
33112;Pestokastike, punainen pesto, ei parmesania, vegaaninen;DISH;MIX;100;DISH;NONINGR;VEGSOUP;VEGDITOT
33113;Mehu, mehujuoma, mehukatti pillijuoma, täydennetty;FOOD;IND;100;FBDRINK;FRUITTOT;DRJUICE;BEVTOT
33114;Suolatikku;DISH;BAK;100;DISH;NONINGR;BISCUIT;CEBAKTOT
33116;Juusto, salaattijuusto, rasvaa 2-5 %, lehmänmaito, suolaliemessä;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
33117;Piimä, rasvaton, valio plus, vl, d-vit 2 ug;FOOD;IND;100;SMILK;MILKTOT;SMILK;MILKDTOT
